epoch,loss,mIoU,mPrecision,mRecall,class_0_IoU,class_0_Precision,class_0_Recall,class_1_IoU,class_1_Precision,class_1_Recall,class_2_IoU,class_2_Precision,class_2_Recall,class_3_IoU,class_3_Precision,class_3_Recall,class_4_IoU,class_4_Precision,class_4_Recall,class_5_IoU,class_5_Precision,class_5_Recall
128,0.1726,0.8607,0.9248,0.923,0.8423,0.9176,0.9112,0.8957,0.9454,0.9446,0.9379,0.9669,0.9691,0.8962,0.945,0.9456,0.8518,0.9169,0.923,0.7402,0.857,0.8445
129,0.1692,0.8623,0.9252,0.9244,0.8438,0.9176,0.9129,0.897,0.9466,0.9448,0.9387,0.9673,0.9695,0.9028,0.9424,0.9555,0.8543,0.9187,0.9241,0.7372,0.8583,0.8394
130,0.1704,0.8622,0.9248,0.9248,0.8437,0.9172,0.9133,0.897,0.9468,0.9446,0.938,0.967,0.969,0.8996,0.9426,0.9517,0.8533,0.9185,0.9232,0.7416,0.8566,0.8467
131,0.1711,0.8615,0.9261,0.9227,0.8441,0.9181,0.9129,0.8959,0.9456,0.9445,0.9377,0.9668,0.9689,0.8955,0.9475,0.9423,0.8547,0.9188,0.9245,0.741,0.8595,0.8431
132,0.1697,0.863,0.9253,0.9251,0.8455,0.9191,0.9136,0.8977,0.9471,0.9451,0.9385,0.9669,0.9696,0.9017,0.9434,0.9533,0.8554,0.9192,0.9249,0.7391,0.856,0.844
133,0.1676,0.863,0.9254,0.925,0.845,0.918,0.9139,0.8971,0.9465,0.945,0.9391,0.9677,0.9694,0.9004,0.9417,0.9536,0.8551,0.9195,0.9243,0.7411,0.8592,0.8436
134,0.1695,0.8633,0.9258,0.925,0.8449,0.9179,0.914,0.8971,0.9471,0.9444,0.938,0.9668,0.9692,0.9043,0.9446,0.9549,0.8546,0.919,0.9242,0.7409,0.8593,0.8432
135,0.1702,0.8635,0.9267,0.9243,0.8437,0.9179,0.9125,0.8968,0.9463,0.9449,0.9378,0.9667,0.969,0.9067,0.9522,0.9499,0.8546,0.9188,0.9244,0.7417,0.8586,0.8449
136,0.1706,0.8623,0.9258,0.9237,0.846,0.9189,0.9143,0.8968,0.9467,0.9444,0.9386,0.9678,0.9689,0.8979,0.9485,0.944,0.8563,0.9191,0.9261,0.7378,0.8541,0.8443
137,0.1694,0.8633,0.9256,0.9252,0.8471,0.9192,0.9152,0.8971,0.9467,0.9449,0.9383,0.9673,0.969,0.8988,0.9403,0.9532,0.8562,0.9201,0.925,0.7421,0.8603,0.8438
138,0.166,0.865,0.9274,0.9254,0.8484,0.9203,0.9157,0.8988,0.9474,0.946,0.9397,0.9681,0.9697,0.9014,0.9445,0.9518,0.8591,0.9214,0.9271,0.7425,0.8628,0.842
139,0.1685,0.8619,0.9255,0.9236,0.8456,0.919,0.9138,0.8975,0.9467,0.9453,0.9392,0.9678,0.9695,0.894,0.9446,0.9434,0.8547,0.9187,0.9246,0.7402,0.8565,0.845
140,0.1688,0.8628,0.9259,0.9242,0.8473,0.9196,0.9151,0.8975,0.9474,0.9446,0.939,0.9675,0.9696,0.8985,0.9453,0.9478,0.8563,0.9193,0.9259,0.7381,0.8566,0.8421
141,0.1666,0.8653,0.9274,0.9256,0.8498,0.9205,0.9171,0.8999,0.948,0.9467,0.9395,0.9683,0.9694,0.9012,0.9453,0.9508,0.8587,0.9216,0.9265,0.7423,0.8609,0.8435
142,0.1687,0.8647,0.926,0.9264,0.8475,0.9199,0.915,0.8981,0.9471,0.9455,0.9394,0.9678,0.9698,0.9039,0.9423,0.9569,0.8563,0.9199,0.9252,0.7428,0.8591,0.8458
143,0.1662,0.8642,0.9275,0.9243,0.8489,0.9201,0.9164,0.8998,0.9483,0.9462,0.9408,0.9683,0.9707,0.8976,0.9486,0.9435,0.8589,0.9217,0.9265,0.7393,0.8578,0.8426
144,0.169,0.8639,0.926,0.9255,0.8497,0.9216,0.9158,0.8979,0.9471,0.9453,0.9391,0.9673,0.9699,0.8988,0.9427,0.9507,0.8577,0.9204,0.9264,0.7402,0.8566,0.8449
145,0.1661,0.8649,0.9282,0.9245,0.8493,0.921,0.916,0.8995,0.948,0.9462,0.9398,0.968,0.97,0.902,0.9508,0.9462,0.8583,0.9206,0.9269,0.7406,0.8606,0.8415
146,0.1652,0.8651,0.9266,0.9263,0.8502,0.9206,0.9174,0.899,0.9486,0.945,0.94,0.9676,0.9706,0.9004,0.9414,0.9538,0.859,0.9217,0.9266,0.7422,0.8599,0.8443
147,0.1657,0.8679,0.9294,0.9268,0.8515,0.9222,0.9174,0.9001,0.9475,0.9473,0.9402,0.969,0.9694,0.9057,0.951,0.95,0.8602,0.922,0.9278,0.7494,0.8647,0.8489
148,0.1633,0.8661,0.9281,0.9261,0.8515,0.9216,0.918,0.8997,0.9478,0.9466,0.9401,0.9684,0.9699,0.8987,0.9448,0.9485,0.8599,0.9225,0.927,0.7466,0.8637,0.8464
149,0.1642,0.8677,0.9291,0.9268,0.8525,0.9234,0.9173,0.9007,0.9483,0.9471,0.9407,0.9685,0.9704,0.9063,0.9496,0.9521,0.8611,0.922,0.9287,0.7448,0.8625,0.8451
150,0.1644,0.8681,0.9285,0.9279,0.8524,0.9218,0.9188,0.9006,0.9482,0.9472,0.9401,0.9686,0.9696,0.9078,0.95,0.9533,0.8608,0.9234,0.927,0.7469,0.8592,0.8511
