epoch,loss,mIoU,mPrecision,mRecall,class_0_IoU,class_0_Precision,class_0_Recall,class_1_IoU,class_1_Precision,class_1_Recall,class_2_IoU,class_2_Precision,class_2_Recall,class_3_IoU,class_3_Precision,class_3_Recall,class_4_IoU,class_4_Precision,class_4_Recall,class_5_IoU,class_5_Precision,class_5_Recall
128,0.3411,0.6664,0.8007,0.7896,0.6432,0.7907,0.7752,0.7536,0.8569,0.862,0.81,0.8999,0.8902,0.5555,0.7186,0.7099,0.7211,0.8253,0.8511,0.5148,0.713,0.6493
129,0.3411,0.6637,0.7964,0.7897,0.6426,0.792,0.7731,0.7532,0.8551,0.8634,0.81,0.9013,0.8889,0.5378,0.687,0.7124,0.7226,0.8254,0.853,0.5159,0.7177,0.6473
130,0.3422,0.6622,0.7964,0.7872,0.6426,0.7916,0.7735,0.7526,0.8559,0.8618,0.808,0.8989,0.8888,0.5348,0.6961,0.6977,0.722,0.825,0.8526,0.5133,0.7108,0.6487
131,0.3417,0.6656,0.7987,0.7903,0.6434,0.7903,0.7758,0.7538,0.8562,0.8631,0.8096,0.9001,0.8895,0.5537,0.7063,0.7192,0.7225,0.8276,0.8505,0.5107,0.7119,0.6438
132,0.3443,0.6552,0.7935,0.7782,0.6425,0.792,0.773,0.7513,0.8541,0.8619,0.8084,0.8997,0.8885,0.497,0.6825,0.6465,0.7222,0.8245,0.8534,0.51,0.7081,0.6457
133,0.3429,0.6608,0.7958,0.7854,0.6441,0.791,0.7761,0.7511,0.8548,0.8609,0.808,0.8986,0.889,0.531,0.6965,0.6909,0.7219,0.8269,0.8504,0.509,0.7072,0.6449
134,0.3414,0.6627,0.796,0.7884,0.6431,0.7928,0.773,0.7538,0.8554,0.8639,0.8095,0.9002,0.8893,0.5397,0.6928,0.7096,0.7211,0.8246,0.8517,0.5093,0.71,0.643
135,0.3419,0.6655,0.7958,0.793,0.6428,0.79,0.7753,0.7531,0.8564,0.862,0.8099,0.9016,0.8884,0.5498,0.6925,0.7274,0.7231,0.8267,0.8523,0.5142,0.7079,0.6527
136,0.3388,0.6671,0.7987,0.7928,0.6432,0.7909,0.775,0.7545,0.8577,0.8624,0.8114,0.9008,0.8911,0.5599,0.7041,0.7323,0.7219,0.8259,0.8514,0.5119,0.713,0.6447
137,0.3407,0.6657,0.7995,0.7899,0.6404,0.7888,0.7729,0.754,0.8565,0.863,0.8098,0.9005,0.8894,0.5544,0.7112,0.7155,0.7213,0.8255,0.8511,0.5142,0.7142,0.6475
138,0.3421,0.6652,0.7999,0.7887,0.6415,0.7904,0.7729,0.7528,0.8547,0.8632,0.8088,0.9001,0.8886,0.5528,0.7124,0.7115,0.723,0.8265,0.8524,0.5125,0.7154,0.6437
139,0.3417,0.6655,0.7992,0.7896,0.6445,0.7931,0.7747,0.7543,0.855,0.8649,0.81,0.9013,0.8889,0.5504,0.7096,0.7104,0.7218,0.8257,0.8516,0.5119,0.7104,0.6469
140,0.343,0.6648,0.7975,0.7903,0.6447,0.794,0.7743,0.752,0.855,0.8619,0.8092,0.9,0.8892,0.5509,0.701,0.7201,0.7224,0.8247,0.8534,0.5095,0.7102,0.6431
141,0.3404,0.6679,0.7992,0.7937,0.6449,0.7911,0.7772,0.7535,0.8552,0.8636,0.8099,0.9012,0.8888,0.5592,0.7048,0.7302,0.7233,0.8288,0.8504,0.5168,0.7139,0.6518
142,0.3399,0.6686,0.8002,0.7937,0.6437,0.7938,0.773,0.7543,0.8567,0.8632,0.8111,0.9007,0.8908,0.5698,0.7146,0.7377,0.7217,0.8241,0.8532,0.5107,0.7112,0.6443
143,0.3407,0.67,0.8022,0.7939,0.6426,0.7907,0.7743,0.7532,0.8561,0.8623,0.8106,0.9007,0.8902,0.5776,0.7256,0.739,0.7231,0.8267,0.8523,0.5126,0.7136,0.6454
144,0.3405,0.6672,0.8007,0.7911,0.6454,0.793,0.7761,0.754,0.8563,0.8632,0.8095,0.9007,0.8889,0.5612,0.7156,0.7223,0.722,0.8252,0.8524,0.5115,0.7137,0.6435
145,0.3402,0.6657,0.8012,0.7882,0.6445,0.793,0.775,0.7545,0.8563,0.8639,0.8093,0.9,0.8892,0.5462,0.7107,0.7024,0.7233,0.826,0.8534,0.5165,0.7212,0.6453
146,0.3425,0.6552,0.7958,0.7761,0.6433,0.7917,0.7743,0.7515,0.853,0.8632,0.8082,0.8997,0.8883,0.492,0.6913,0.6305,0.7222,0.826,0.8518,0.5142,0.7131,0.6483
147,0.3416,0.666,0.7987,0.7908,0.6405,0.7907,0.7712,0.7549,0.8573,0.8634,0.8116,0.9004,0.8917,0.5529,0.7072,0.717,0.7227,0.8257,0.8528,0.5132,0.7107,0.6487
148,0.3407,0.662,0.7968,0.7863,0.6421,0.7903,0.7739,0.7529,0.8542,0.8639,0.8089,0.9005,0.8883,0.5311,0.6975,0.6901,0.7215,0.8266,0.8502,0.5155,0.7116,0.6516
