epoch,loss,mIoU,mPrecision,mRecall,class_0_IoU,class_0_Precision,class_0_Recall,class_1_IoU,class_1_Precision,class_1_Recall,class_2_IoU,class_2_Precision,class_2_Recall,class_3_IoU,class_3_Precision,class_3_Recall,class_4_IoU,class_4_Precision,class_4_Recall,class_5_IoU,class_5_Precision,class_5_Recall
128,0.2651,0.7416,0.8509,0.845,0.7503,0.8486,0.8663,0.8137,0.8976,0.8969,0.8856,0.9357,0.943,0.5804,0.758,0.7124,0.6542,0.8031,0.7792,0.7657,0.8622,0.8725
129,0.2636,0.7419,0.8506,0.8456,0.7505,0.8491,0.866,0.8146,0.8982,0.8975,0.8858,0.9359,0.943,0.5812,0.7571,0.7145,0.6541,0.8029,0.7791,0.7653,0.8606,0.8736
130,0.265,0.7416,0.8505,0.8454,0.7506,0.8487,0.8666,0.8139,0.898,0.8968,0.8846,0.9355,0.9421,0.5815,0.7573,0.7147,0.6536,0.8026,0.7787,0.7655,0.8608,0.8736
131,0.2643,0.7418,0.8505,0.8456,0.7513,0.8493,0.867,0.8142,0.8985,0.8967,0.8856,0.9356,0.9431,0.5802,0.7554,0.7143,0.6547,0.8035,0.7794,0.765,0.8607,0.8731
132,0.2639,0.7419,0.8504,0.8457,0.75,0.8489,0.8656,0.815,0.8983,0.8978,0.886,0.9363,0.9429,0.5805,0.7549,0.7152,0.6543,0.8031,0.7793,0.7657,0.8611,0.8736
133,0.2641,0.7417,0.8504,0.8454,0.7508,0.8488,0.8668,0.8145,0.8984,0.8971,0.8855,0.9356,0.9429,0.5794,0.755,0.7136,0.6533,0.8032,0.7778,0.7664,0.8612,0.8744
134,0.2636,0.7428,0.8511,0.8464,0.7509,0.8496,0.866,0.8153,0.8985,0.898,0.8861,0.9362,0.9431,0.583,0.757,0.7172,0.6547,0.8035,0.7796,0.7666,0.8617,0.8742
135,0.2625,0.7427,0.8513,0.846,0.7504,0.8489,0.8661,0.8153,0.8987,0.8978,0.8868,0.9361,0.9439,0.5823,0.7587,0.7146,0.6548,0.8036,0.7795,0.7664,0.8616,0.874
136,0.2634,0.7427,0.8513,0.846,0.7511,0.8491,0.8668,0.8153,0.8982,0.8983,0.8866,0.9364,0.9434,0.5825,0.7581,0.7155,0.6548,0.8048,0.7784,0.7658,0.8611,0.8738
137,0.2643,0.7427,0.8514,0.8461,0.7513,0.8495,0.8666,0.8153,0.8982,0.8983,0.8856,0.9357,0.9429,0.5833,0.7598,0.7152,0.6546,0.8039,0.779,0.7663,0.8611,0.8743
138,0.2622,0.7432,0.8514,0.8467,0.7518,0.8496,0.8672,0.8155,0.899,0.8977,0.8863,0.9362,0.9432,0.5839,0.7587,0.7171,0.6557,0.8044,0.78,0.7664,0.8604,0.8752
139,0.2624,0.7436,0.8519,0.8467,0.7518,0.8494,0.8675,0.8159,0.8996,0.8976,0.8865,0.936,0.9437,0.5844,0.7593,0.7173,0.656,0.8048,0.7802,0.767,0.8627,0.8737
140,0.2634,0.7432,0.8514,0.8466,0.7511,0.8493,0.8666,0.8154,0.8986,0.898,0.8863,0.9364,0.9431,0.5838,0.7582,0.7174,0.655,0.8041,0.7794,0.7675,0.862,0.8751
141,0.2628,0.7434,0.8521,0.8463,0.7517,0.8494,0.8673,0.8157,0.8991,0.8979,0.8864,0.9359,0.9437,0.5852,0.7625,0.7157,0.655,0.8039,0.7796,0.7665,0.8619,0.8738
142,0.2623,0.7438,0.8517,0.8472,0.7528,0.8505,0.8676,0.8158,0.8989,0.8983,0.8867,0.9367,0.9432,0.585,0.7591,0.7184,0.6562,0.8048,0.7804,0.7665,0.8602,0.8756
143,0.2619,0.744,0.852,0.8472,0.7514,0.8496,0.8666,0.8154,0.899,0.8976,0.8868,0.9362,0.9439,0.5879,0.7621,0.7201,0.6556,0.8041,0.7802,0.7666,0.8609,0.875
144,0.2611,0.7447,0.8525,0.8476,0.7528,0.8504,0.8677,0.8167,0.8997,0.8985,0.888,0.9368,0.9447,0.5867,0.7607,0.7195,0.6558,0.8049,0.7797,0.7684,0.8628,0.8753
145,0.2622,0.7438,0.8519,0.847,0.7526,0.8499,0.868,0.8159,0.8993,0.8979,0.8866,0.9362,0.9436,0.584,0.7585,0.7174,0.6562,0.8053,0.78,0.7676,0.8622,0.8749
146,0.262,0.7446,0.8525,0.8475,0.7522,0.8507,0.8666,0.8167,0.8995,0.8987,0.8875,0.9365,0.9443,0.5874,0.761,0.7203,0.6559,0.8041,0.7806,0.7679,0.8629,0.8746
147,0.2611,0.7451,0.8531,0.8476,0.7534,0.8509,0.868,0.8171,0.8999,0.8988,0.8866,0.9361,0.9437,0.5875,0.7635,0.7182,0.6569,0.8048,0.7815,0.7689,0.8637,0.8751
148,0.262,0.7435,0.8517,0.8467,0.7521,0.8503,0.8669,0.8164,0.8988,0.899,0.8871,0.937,0.9434,0.583,0.7586,0.7158,0.6564,0.8045,0.781,0.7661,0.8611,0.8741
149,0.261,0.7448,0.8525,0.8478,0.7534,0.8511,0.8678,0.8169,0.9003,0.8981,0.8872,0.9363,0.9442,0.5866,0.7588,0.7211,0.6571,0.805,0.7815,0.7676,0.8633,0.8738
150,0.2604,0.7454,0.853,0.8481,0.7536,0.8519,0.8672,0.8168,0.8993,0.899,0.8873,0.9368,0.9438,0.59,0.7626,0.7228,0.6576,0.8048,0.7824,0.7669,0.8626,0.8736
