epoch,loss,mIoU,mPrecision,mRecall,class_0_IoU,class_0_Precision,class_0_Recall,class_1_IoU,class_1_Precision,class_1_Recall,class_2_IoU,class_2_Precision,class_2_Recall,class_3_IoU,class_3_Precision,class_3_Recall,class_4_IoU,class_4_Precision,class_4_Recall,class_5_IoU,class_5_Precision,class_5_Recall
128,0.2754,0.7464,0.8547,0.8478,0.7117,0.836,0.8273,0.8086,0.8968,0.8915,0.8695,0.9286,0.9318,0.7742,0.8621,0.8836,0.761,0.8565,0.8723,0.5533,0.7478,0.6802
129,0.2743,0.7479,0.8545,0.8499,0.7113,0.8347,0.8278,0.8101,0.898,0.8922,0.8698,0.9281,0.9326,0.7773,0.862,0.8878,0.7615,0.8586,0.8707,0.5573,0.7456,0.6882
130,0.2725,0.7471,0.8548,0.8487,0.7165,0.8394,0.8303,0.8092,0.8994,0.8897,0.8696,0.9267,0.9338,0.7662,0.8571,0.8784,0.7643,0.8582,0.8748,0.5566,0.7478,0.6853
131,0.2748,0.7512,0.8579,0.8508,0.7104,0.8349,0.8264,0.8088,0.8972,0.8914,0.8694,0.9273,0.933,0.7971,0.8803,0.894,0.7612,0.8579,0.871,0.5601,0.7499,0.6888
132,0.2739,0.7494,0.8558,0.8503,0.7114,0.8356,0.8272,0.8087,0.8975,0.891,0.8706,0.9283,0.9334,0.7857,0.8741,0.886,0.7623,0.8583,0.8721,0.5573,0.7413,0.6918
133,0.2745,0.7461,0.8582,0.8442,0.7141,0.8382,0.8283,0.81,0.8984,0.8917,0.8696,0.9271,0.9334,0.7616,0.8807,0.8492,0.7616,0.8565,0.8729,0.5598,0.748,0.6898
134,0.274,0.7511,0.855,0.853,0.7115,0.8358,0.8271,0.8087,0.8976,0.8909,0.8706,0.9287,0.933,0.8039,0.8713,0.9123,0.7611,0.8569,0.8719,0.5506,0.7397,0.6829
135,0.2719,0.7505,0.8557,0.8522,0.7113,0.8358,0.8269,0.8117,0.8996,0.8926,0.8729,0.9294,0.9349,0.7875,0.8616,0.9015,0.7621,0.8577,0.8724,0.5576,0.75,0.6849
136,0.2737,0.7488,0.8577,0.8481,0.712,0.8383,0.8254,0.8087,0.8966,0.8919,0.8714,0.9295,0.9331,0.7778,0.8765,0.8735,0.7626,0.8556,0.8752,0.5605,0.7497,0.6895
137,0.2747,0.7453,0.8517,0.849,0.7128,0.8362,0.8284,0.8077,0.8966,0.8906,0.8698,0.9282,0.9326,0.7697,0.8526,0.8878,0.7625,0.8588,0.8718,0.5492,0.7377,0.6824
138,0.2729,0.7518,0.857,0.8528,0.7129,0.8367,0.8281,0.8122,0.8996,0.8931,0.8726,0.9294,0.9345,0.7869,0.8672,0.8947,0.7622,0.8581,0.8721,0.564,0.7508,0.694
139,0.2727,0.7464,0.8559,0.8468,0.7124,0.8359,0.8282,0.8096,0.8986,0.891,0.8702,0.9276,0.9336,0.7621,0.8674,0.8626,0.7613,0.8573,0.8717,0.5626,0.7482,0.694
