epoch,loss,mIoU,mPrecision,mRecall,class_0_IoU,class_0_Precision,class_0_Recall,class_1_IoU,class_1_Precision,class_1_Recall,class_2_IoU,class_2_Precision,class_2_Recall,class_3_IoU,class_3_Precision,class_3_Recall,class_4_IoU,class_4_Precision,class_4_Recall,class_5_IoU,class_5_Precision,class_5_Recall
128,0.1143,0.8806,0.9362,0.9356,0.8792,0.9353,0.9362,0.9137,0.9559,0.9539,0.9636,0.9791,0.9838,0.8288,0.9125,0.9004,0.8347,0.9111,0.9088,0.8633,0.923,0.9303
129,0.1139,0.8806,0.9363,0.9355,0.8787,0.9353,0.9356,0.9134,0.9554,0.954,0.9638,0.9793,0.9838,0.8301,0.914,0.9004,0.8345,0.9106,0.9089,0.8635,0.9231,0.9304
130,0.1138,0.8812,0.9366,0.9359,0.8793,0.9358,0.9358,0.9143,0.9559,0.9546,0.9638,0.9794,0.9838,0.8309,0.914,0.9014,0.835,0.9109,0.9093,0.8641,0.9235,0.9307
131,0.1133,0.8816,0.9368,0.9361,0.8799,0.9358,0.9364,0.9144,0.9562,0.9544,0.964,0.9794,0.9839,0.832,0.9153,0.9014,0.8355,0.911,0.9098,0.8639,0.9232,0.9307
132,0.1137,0.8814,0.9368,0.9359,0.8795,0.9354,0.9363,0.9144,0.9561,0.9545,0.964,0.9793,0.9841,0.8304,0.9149,0.8998,0.8362,0.9119,0.9097,0.8639,0.9231,0.9308
133,0.1118,0.8819,0.9372,0.9361,0.8804,0.9361,0.9367,0.9141,0.9557,0.9546,0.9641,0.9795,0.984,0.8317,0.9164,0.8999,0.8363,0.9117,0.91,0.8649,0.9237,0.9314
134,0.1116,0.8824,0.9374,0.9365,0.8807,0.9363,0.9369,0.9147,0.9561,0.9548,0.9642,0.9795,0.9841,0.8328,0.9152,0.9024,0.8372,0.9125,0.9103,0.865,0.9249,0.9304
135,0.1117,0.8831,0.9378,0.9368,0.8814,0.9365,0.9374,0.9149,0.9564,0.9547,0.9641,0.9795,0.9839,0.8338,0.9163,0.9025,0.8383,0.9128,0.9113,0.8659,0.9251,0.9312
136,0.1117,0.8827,0.9376,0.9366,0.8811,0.9364,0.9372,0.9147,0.9561,0.9547,0.9639,0.9795,0.9837,0.833,0.9152,0.9027,0.8382,0.913,0.911,0.8653,0.925,0.9306
137,0.1125,0.8826,0.9376,0.9365,0.8813,0.9364,0.9374,0.9146,0.9562,0.9546,0.964,0.9793,0.9841,0.8339,0.9167,0.9022,0.8372,0.9126,0.9102,0.8646,0.9242,0.9307
138,0.111,0.8828,0.9375,0.9368,0.8818,0.9371,0.9372,0.9153,0.9565,0.955,0.9643,0.9796,0.9841,0.833,0.9152,0.9027,0.8384,0.9128,0.9114,0.8643,0.9239,0.9305
139,0.1108,0.8835,0.938,0.9371,0.8818,0.9369,0.9375,0.9155,0.9568,0.9549,0.9645,0.9796,0.9843,0.8343,0.9158,0.9035,0.8387,0.9131,0.9115,0.8661,0.9259,0.9306
140,0.1108,0.8832,0.9378,0.937,0.8818,0.9369,0.9375,0.9157,0.9567,0.9553,0.9644,0.9798,0.984,0.8333,0.9157,0.9025,0.8388,0.9132,0.9115,0.8652,0.9243,0.9313
141,0.1108,0.8839,0.9382,0.9373,0.8824,0.9373,0.9377,0.9153,0.9566,0.955,0.9646,0.9797,0.9842,0.8346,0.9166,0.9032,0.8403,0.9138,0.9126,0.8662,0.9253,0.9313
142,0.1111,0.8836,0.9379,0.9372,0.8821,0.9371,0.9376,0.9157,0.9568,0.9552,0.9648,0.9799,0.9844,0.8355,0.9167,0.9041,0.8385,0.9132,0.9112,0.8648,0.9241,0.931
143,0.1109,0.8841,0.9383,0.9375,0.8829,0.9377,0.9379,0.9159,0.9566,0.9555,0.9648,0.9799,0.9842,0.8347,0.9166,0.9032,0.8412,0.9145,0.9129,0.865,0.9242,0.931
144,0.1102,0.8846,0.9386,0.9378,0.8831,0.9375,0.9384,0.9161,0.9573,0.9552,0.9648,0.98,0.9842,0.8369,0.9176,0.9049,0.8404,0.9138,0.9127,0.8664,0.9252,0.9317
145,0.1106,0.8842,0.9383,0.9377,0.8824,0.9375,0.9375,0.9157,0.9568,0.9552,0.9647,0.9797,0.9844,0.837,0.9172,0.9055,0.8394,0.9133,0.912,0.8662,0.9252,0.9314
146,0.1092,0.8846,0.9385,0.9378,0.8834,0.9377,0.9385,0.9162,0.9572,0.9553,0.9647,0.9799,0.9841,0.8378,0.918,0.9055,0.8402,0.9139,0.9125,0.8653,0.9245,0.9311
147,0.1091,0.8848,0.9387,0.9379,0.8839,0.9384,0.9384,0.9166,0.9572,0.9558,0.9648,0.9798,0.9844,0.8368,0.9171,0.9053,0.8413,0.9147,0.913,0.8656,0.9254,0.9305
148,0.1087,0.8856,0.9391,0.9383,0.884,0.9382,0.9386,0.9167,0.9575,0.9556,0.9651,0.9801,0.9844,0.8393,0.919,0.9064,0.8422,0.9146,0.9141,0.866,0.9253,0.931
149,0.1093,0.8852,0.9392,0.9379,0.8837,0.9383,0.9382,0.9166,0.957,0.956,0.9649,0.98,0.9843,0.8381,0.9192,0.9048,0.8417,0.9146,0.9135,0.8664,0.926,0.9308
150,0.1093,0.8855,0.939,0.9384,0.8843,0.938,0.9392,0.9166,0.9575,0.9555,0.9649,0.98,0.9843,0.8385,0.9181,0.9063,0.8418,0.9151,0.9131,0.8669,0.9251,0.9322
